FECHA (YYMMDD);HORA (HHMM);;
140112;1900;27,8667;
140112;2000;25,95;
140112;2100;23,7167;
140112;2200;22,4417;
140112;2300;22,3417;
140113;0000;20,9167;
140113;0100;19,575;
140113;0200;18,6333;
140113;0300;17,4833;
140113;0400;16,975;
140113;0500;17,4083;
140113;0600;17,0333;
140113;0700;17,3083;
140113;0800;19,3583;
140113;0900;21,2333;
140113;1000;22,45;
140113;1100;24,8333;
140113;1200;26,5;
140113;1300;28,1333;
140113;1400;28,7583;
140113;1500;29,4417;
140113;1600;29,2416;
140113;1700;29,1167;
140113;1800;28,55;
140113;1900;27,2917;
140113;2000;25,1417;
140113;2100;23,0917;
140113;2200;21,8333;
140113;2300;20,7583;
140114;0000;20,075;
140114;0100;19,625;
140114;0200;19,3917;
140114;0300;18,9917;
140114;0400;18,7917;
140114;0500;18,3417;
140114;0600;18,1333;
140114;0700;18,6083;
140114;0800;21,6083;
140114;0900;23,375;
140114;1000;26,2583;
140114;1100;28,925;
140114;1200;30,3;
140114;1300;31,1417;
140114;1400;32,65;
140114;1500;32,9916;
140114;1600;32,8333;
140114;1700;31,8333;
140114;1800;30,325;
140114;1900;28,8083;
140114;2000;27,8;
140114;2100;26,1083;
140114;2200;24,9;
140114;2300;24,3;
140115;0000;23,4917;
140115;0100;22,9916;
140115;0200;22,575;
140115;0300;21,875;
140115;0400;21,2833;
140115;0500;20,9667;
140115;0600;21,1417;
140115;0700;22,5917;
140115;0800;25,0083;
140115;0900;27,2;
140115;1000;28,875;
140115;1100;30,6667;
140115;1200;31,625;
140115;1300;32,7;
140115;1400;32,775;
140115;1500;32,8333;
140115;1600;32,6916;
140115;1700;32,0916;
140115;1800;30,8167;
140115;1900;29,275;
140115;2000;27,4667;
140115;2100;25,7583;
140115;2200;24,5833;
140115;2300;23,55;
140116;0000;22,9417;
140116;0100;22,1;
140116;0200;21,125;
140116;0300;20,3333;
140116;0400;19,9667;
140116;0500;19,075;
140116;0600;18,5083;
140116;0700;19,05;
140116;0800;20,6583;
140116;0900;22,8333;
140116;1000;24,95;
140116;1100;26,0333;
140116;1200;28,1;
140116;1300;29,9583;
140116;1400;30,725;
140116;1500;31,5917;
140116;1600;32,0833;
140116;1700;31,4917;
140116;1800;30,0167;
140116;1900;28,5333;
140116;2000;26,4917;
140116;2100;25,075;
140116;2200;23,7167;
140116;2300;22,6083;
140117;0000;21,8;
140117;0100;20,8083;
140117;0200;20,35;
140117;0300;19,75;
140117;0400;19,3;
140117;0500;18,9167;
140117;0600;18,7417;
140117;0700;19,4583;
140117;0800;20,9667;
140117;0900;22,4667;
140117;1000;24,3333;
140117;1100;26,675;
140117;1200;28,4917;
140117;1300;29,2833;
140117;1400;30,5917;
140117;1500;31,6;
140117;1600;31,8;
140117;1700;31,9;
140117;1800;30,4083;
140117;1900;28,0917;
140117;2000;25,6416;
140117;2100;24,15;
140117;2200;22,625;
140117;2300;21,575;
140118;0000;20,6917;
140118;0100;20,35;
140118;0200;19,9083;
140118;0300;19,7;
140118;0400;19,675;
140118;0500;19,4333;
140118;0600;19,2583;
140118;0700;19,5083;
140118;0800;21,7083;
140118;0900;23,0333;
140118;1000;23,1917;
140118;1100;25,1083;
140118;1200;26,4083;
140118;1300;28,3;
140118;1400;28,6667;
140118;1500;29,5667;
140118;1600;31,35;
140118;1700;29,3667;
140118;1800;28,75;
140118;1900;27,825;
140118;2000;26,5583;
140118;2100;25,7917;
140118;2200;24,5083;
140118;2300;23,4167;
140119;0000;22,4667;
140119;0100;21,625;
140119;0200;21,025;
140119;0300;20,7583;
140119;0400;20,6333;
140119;0500;20,4583;
140119;0600;19,8083;
140119;0700;19,9667;
140119;0800;22,45;
140119;0900;23,6833;
140119;1000;25,3167;
140119;1100;26,8083;
140119;1200;28,5667;
140119;1300;29,6416;
140119;1400;30,425;
140119;1500;31,4583;
140119;1600;31,3917;
140119;1700;30,1417;
140119;1800;29,1333;
140119;1900;;
140119;2000;;
140119;2100;;
140119;2200;;
140119;2300;;
140120;0000;;
140120;0100;;
140120;0200;;
140120;0300;;
140120;0400;;
140120;0500;;
140120;0600;;
140120;0700;;
140120;0800;;
140120;0900;;
140120;1000;;
140120;1100;25,9833;
140120;1200;27,8;
140120;1300;28,55;
140120;1400;30,4667;
140120;1500;31,6166;
140120;1600;31,325;
140120;1700;29,5333;
140120;1800;27,575;
140120;1900;24,8417;
140120;2000;22,85;
140120;2100;21,2333;
140120;2200;19,5167;
140120;2300;18,775;
140121;0000;18,4333;
140121;0100;17,7917;
140121;0200;17,6;
140121;0300;17,3;
140121;0400;16,7583;
140121;0500;16,1;
140121;0600;15,65;
140121;0700;16,3333;
140121;0800;19,1167;
140121;0900;21,4917;
140121;1000;23,7583;
140121;1100;25,7333;
140121;1200;28,3333;
140121;1300;30,0333;
140121;1400;30,775;
140121;1500;31,5833;
140121;1600;31,7917;
140121;1700;31,0417;
140121;1800;29,4167;
140121;1900;27,8167;
140121;2000;25,25;
140121;2100;22,65;
140121;2200;21,55;
140121;2300;20,95;
140122;0000;20,3083;
140122;0100;19,75;
140122;0200;19,4333;
140122;0300;18,6667;
140122;0400;17,825;
140122;0500;17,6167;
140122;0600;17,4417;
140122;0700;17,9667;
140122;0800;20,125;
140122;0900;21,2833;
140122;1000;22,875;
140122;1100;24,65;
140122;1200;25,9833;
140122;1300;27,5167;
140122;1400;28,725;
140122;1500;29,25;
140122;1600;28,9917;
140122;1700;28,4333;
140122;1800;27,0667;
140122;1900;26,3833;
140122;2000;25,425;
140122;2100;23,05;
140122;2200;21,625;
140122;2300;20,3083;
140123;0000;19,4667;
140123;0100;19,45;
140123;0200;19,2416;
140123;0300;18,1417;
140123;0400;17,275;
140123;0500;17,0833;
140123;0600;17,0917;
140123;0700;17,6583;
140123;0800;19,6333;
140123;0900;21,2;
140123;1000;21,625;
140123;1100;23,4917;
140123;1200;23,5417;
140123;1300;26,1833;
140123;1400;27,0667;
140123;1500;27,8833;
140123;1600;29,2833;
140123;1700;28,8417;
140123;1800;26,975;
140123;1900;25,5;
140123;2000;23,45;
140123;2100;21,4583;
140123;2200;20,2917;
140123;2300;19,25;
140124;0000;18,525;
140124;0100;17,8;
140124;0200;17,1667;
140124;0300;16,7667;
140124;0400;16,7;
140124;0500;16,4583;
140124;0600;15,8333;
140124;0700;16,1333;
140124;0800;18,7;
140124;0900;20,6;
140124;1000;22,9583;
140124;1100;24,775;
140124;1200;26,2917;
140124;1300;28,1583;
140124;1400;29,05;
140124;1500;29,9167;
140124;1600;30,3667;
140124;1700;29,7;
140124;1800;28,925;
140124;1900;27,8083;
140124;2000;25,9;
140124;2100;23,7333;
140124;2200;21,9083;
140124;2300;20,6667;
140125;0000;19,8833;
140125;0100;19,375;
140125;0200;19,2083;
140125;0300;18,7583;
140125;0400;17,975;
140125;0500;17,3917;
140125;0600;16,9333;
140125;0700;17,0917;
140125;0800;20,0833;
140125;0900;22,3;
140125;1000;24,125;
140125;1100;25,9;
140125;1200;28,3917;
140125;1300;29,1667;
140125;1400;30,5333;
140125;1500;31,6083;
140125;1600;31,4917;
140125;1700;31,4667;
140125;1800;29,825;
140125;1900;27,8583;
140125;2000;25,3917;
140125;2100;23,2167;
140125;2200;22,0666;
140125;2300;20,775;
140126;0000;20,3167;
140126;0100;19,875;
140126;0200;19,4417;
140126;0300;18,9333;
140126;0400;18,2417;
140126;0500;17,5083;
140126;0600;17,3167;
140126;0700;17,2083;
140126;0800;19,3083;
140126;0900;20,8333;
140126;1000;22,7833;
140126;1100;24,9167;
140126;1200;26,6583;
140126;1300;28,3333;
140126;1400;29,0833;
140126;1500;29,575;
140126;1600;30,1917;
140126;1700;29,7666;
140126;1800;28,1333;
140126;1900;25,6167;
140126;2000;23,3083;
140126;2100;21,4333;
140126;2200;20,2667;
140126;2300;19;
140127;0000;18,05;
140127;0100;17,575;
140127;0200;17,4333;
140127;0300;16,6333;
140127;0400;15,725;
140127;0500;15,1333;
140127;0600;14,6167;
140127;0700;13,8083;
140127;0800;15,3833;
140127;0900;17,475;
140127;1000;19;
140127;1100;21,025;
140127;1200;22,475;
140127;1300;23,9;
140127;1400;25,4917;
140127;1500;26,3333;
140127;1600;26,3;
140127;1700;26,375;
140127;1800;25,9;
140127;1900;24,9417;
140127;2000;22,7583;
140127;2100;20,6;
140127;2200;19,575;
140127;2300;18,2333;
140128;0000;17,5;
140128;0100;16,9667;
140128;0200;16,5;
140128;0300;16,2167;
140128;0400;15,8083;
140128;0500;15,4083;
140128;0600;15;
140128;0700;15,3167;
140128;0800;17,45;
140128;0900;19,4667;
140128;1000;21,625;
140128;1100;24,4417;
140128;1200;26,475;
140128;1300;28,2833;
140128;1400;29,3083;
140128;1500;30,5917;
140128;1600;31,325;
140128;1700;31,2417;
140128;1800;30,5917;
140128;1900;29,3333;
140128;2000;27,2417;
140128;2100;24,9083;
140128;2200;23,3583;
140128;2300;22,5583;
140129;0000;21,8;
140129;0100;21,2;
140129;0200;20,4917;
