FECHA (YYMMDD);HORA (HHMM);;
140110;2100;22,1917;
140110;2200;20,8833;
140110;2300;20,075;
140111;0000;19,6417;
140111;0100;18,275;
140111;0200;17,2167;
140111;0300;16,35;
140111;0400;15,575;
140111;0500;15,4333;
140111;0600;14,8583;
140111;0700;17,6;
140111;0800;22,825;
140111;0900;25,5833;
140111;1000;27,625;
140111;1100;29,95;
140111;1200;31,9;
140111;1300;34,4416;
140111;1400;34,9333;
140111;1500;35,4083;
140111;1600;35,0166;
140111;1700;33,425;
140111;1800;31,5917;
140111;1900;28,975;
140111;2000;25,6333;
140111;2100;23,4417;
140111;2200;21,9833;
140111;2300;20,9417;
140112;0000;19,3083;
140112;0100;18,2167;
140112;0200;17,4;
140112;0300;16,475;
140112;0400;15,4583;
140112;0500;15,275;
140112;0600;15,0417;
140112;0700;16,775;
140112;0800;21,3;
140112;0900;24,775;
140112;1000;28,8167;
140112;1100;30,7333;
140112;1200;32,4416;
140112;1300;33,225;
140112;1400;33,6083;
140112;1500;32,625;
140112;1600;31,1667;
140112;1700;29,025;
140112;1800;27,225;
140112;1900;25,8083;
140112;2000;23,5667;
140112;2100;20,8083;
140112;2200;19,4667;
140112;2300;18,9167;
140113;0000;17,6333;
140113;0100;15,875;
140113;0200;15,025;
140113;0300;14,3083;
140113;0400;13,7917;
140113;0500;13,5333;
140113;0600;13,05;
140113;0700;14,0167;
140113;0800;16,4667;
140113;0900;18,7333;
140113;1000;20,125;
140113;1100;22,4333;
140113;1200;24,7;
140113;1300;26,1083;
140113;1400;26,8417;
140113;1500;27,4083;
140113;1600;27,6583;
140113;1700;27,9167;
140113;1800;27,5417;
140113;1900;25,9416;
140113;2000;22,5083;
140113;2100;20,2583;
140113;2200;19,1667;
140113;2300;18,1917;
140114;0000;17,4;
140114;0100;16,7;
140114;0200;16,25;
140114;0300;15,85;
140114;0400;15,4417;
140114;0500;15,2667;
140114;0600;15,1167;
140114;0700;16,4;
140114;0800;20,3333;
140114;0900;22,2583;
140114;1000;26,2417;
140114;1100;28,1333;
140114;1200;29,1833;
140114;1300;29,8417;
140114;1400;31,3333;
140114;1500;31,9583;
140114;1600;31,775;
140114;1700;30,3417;
140114;1800;28,7667;
140114;1900;27,15;
140114;2000;25,9583;
140114;2100;23,7667;
140114;2200;22,3583;
140114;2300;21,6167;
140115;0000;20,7667;
140115;0100;19,8083;
140115;0200;19,3083;
140115;0300;18,6833;
140115;0400;18,2583;
140115;0500;17,9667;
140115;0600;17,5333;
140115;0700;19,3667;
140115;0800;23,9333;
140115;0900;26,4583;
140115;1000;27,4917;
140115;1100;29,05;
140115;1200;30,325;
140115;1300;31,3583;
140115;1400;31,775;
140115;1500;31,6917;
140115;1600;31,775;
140115;1700;31,3;
140115;1800;29,9;
140115;1900;28,1083;
140115;2000;25,65;
140115;2100;23,55;
140115;2200;22,0667;
140115;2300;20,875;
140116;0000;19,7167;
140116;0100;18,6083;
140116;0200;17,8833;
140116;0300;17,2;
140116;0400;16,8;
140116;0500;15,8917;
140116;0600;15,2917;
140116;0700;15,7333;
140116;0800;19,1083;
140116;0900;21,6583;
140116;1000;22,9167;
140116;1100;24,9;
140116;1200;26,9167;
140116;1300;28,3833;
140116;1400;29,4583;
140116;1500;30,4417;
140116;1600;30,9833;
140116;1700;30,2083;
140116;1800;28,5083;
140116;1900;27,1083;
140116;2000;24,8333;
140116;2100;22,65;
140116;2200;20,925;
140116;2300;19,8917;
140117;0000;18,9917;
140117;0100;17,9833;
140117;0200;17,1833;
140117;0300;16,9167;
140117;0400;16,6833;
140117;0500;16,2167;
140117;0600;15,875;
140117;0700;16,875;
140117;0800;19,575;
140117;0900;21,0417;
140117;1000;23,6833;
140117;1100;25,7667;
140117;1200;27,1833;
140117;1300;28,65;
140117;1400;29,8917;
140117;1500;30,775;
140117;1600;31,05;
140117;1700;30,95;
140117;1800;29,175;
140117;1900;26,4417;
140117;2000;23,8167;
140117;2100;21,8083;
140117;2200;20,0333;
140117;2300;18,85;
140118;0000;17,95;
140118;0100;17,575;
140118;0200;17,2583;
140118;0300;17,0917;
140118;0400;16,8583;
140118;0500;16,5;
140118;0600;16,5;
140118;0700;17,225;
140118;0800;18,9583;
140118;0900;20,9917;
140118;1000;22,1417;
140118;1100;23,7667;
140118;1200;24,9;
140118;1300;27,0583;
140118;1400;27,95;
140118;1500;29,1;
140118;1600;28,8;
140118;1700;27,7;
140118;1800;27,8667;
140118;1900;27,2917;
140118;2000;26,1667;
140118;2100;24,1083;
140118;2200;22,6417;
140118;2300;21,0667;
140119;0000;19,8667;
140119;0100;19,0833;
140119;0200;18,3417;
140119;0300;17,4333;
140119;0400;17,45;
140119;0500;17,0083;
140119;0600;16,4583;
140119;0700;17,3333;
140119;0800;21,225;
140119;0900;22,55;
140119;1000;24,0583;
140119;1100;25,875;
140119;1200;27,1167;
140119;1300;28,2917;
140119;1400;29,4083;
140119;1500;30,0167;
140119;1600;29,975;
140119;1700;29,0667;
140119;1800;27,7333;
140119;1900;25,8833;
140119;2000;23,0417;
140119;2100;20,425;
140119;2200;18,4667;
140119;2300;17,1833;
140120;0000;16,4833;
140120;0100;15,8333;
140120;0200;15,525;
140120;0300;14,9833;
140120;0400;14,6667;
140120;0500;14,5083;
140120;0600;14,2333;
140120;0700;15,4083;
140120;0800;18,7333;
140120;0900;20,3583;
140120;1000;22,3167;
140120;1100;25,575;
140120;1200;26,5417;
140120;1300;27,825;
140120;1400;29,375;
140120;1500;30,2583;
140120;1600;29,925;
140120;1700;27,9667;
140120;1800;25,375;
140120;1900;22,675;
140120;2000;20,5583;
140120;2100;18,75;
140120;2200;17,1167;
140120;2300;16,05;
140121;0000;15,425;
140121;0100;14,925;
140121;0200;14,5333;
140121;0300;14,2417;
140121;0400;13,8333;
140121;0500;13,3833;
140121;0600;12,775;
140121;0700;14,0667;
140121;0800;18,4167;
140121;0900;20,8;
140121;1000;22,7917;
140121;1100;25,3333;
140121;1200;27,6833;
140121;1300;28,5;
140121;1400;29,5083;
140121;1500;30,0833;
140121;1600;30,35;
140121;1700;29,725;
140121;1800;28,1167;
140121;1900;25,9833;
140121;2000;22,7083;
140121;2100;20,2;
140121;2200;19,0333;
140121;2300;18,1667;
140122;0000;17,4417;
140122;0100;16,7167;
140122;0200;16,2333;
140122;0300;15,5917;
140122;0400;14,7667;
140122;0500;14,2917;
140122;0600;14,3083;
140122;0700;14,95;
140122;0800;18,2917;
140122;0900;19,1833;
140122;1000;21,35;
140122;1100;22,5083;
140122;1200;23,5167;
140122;1300;25,6417;
140122;1400;26,8583;
140122;1500;27,775;
140122;1600;27,5;
140122;1700;27,2167;
140122;1800;25,5917;
140122;1900;24,6833;
140122;2000;23,2583;
140122;2100;20,8833;
140122;2200;19,05;
140122;2300;17,5167;
140123;0000;16,575;
140123;0100;16,4083;
140123;0200;16,1917;
140123;0300;15,3;
140123;0400;14,6083;
140123;0500;14,4;
140123;0600;14,1083;
140123;0700;14,425;
140123;0800;18,5167;
140123;0900;19,0083;
140123;1000;19,8;
140123;1100;21,425;
140123;1200;22,0833;
140123;1300;24,7;
140123;1400;26,2083;
140123;1500;27,175;
140123;1600;27,9083;
140123;1700;27,725;
140123;1800;25,6;
140123;1900;23,8333;
140123;2000;21,325;
140123;2100;19,0583;
140123;2200;17,7583;
140123;2300;16,7917;
140124;0000;16,0833;
140124;0100;15,525;
140124;0200;14,7833;
140124;0300;14,4;
140124;0400;13,9833;
140124;0500;13,6667;
140124;0600;13,1667;
140124;0700;13,9667;
140124;0800;17,7;
140124;0900;20,2833;
140124;1000;21,675;
140124;1100;23,55;
140124;1200;25,7667;
140124;1300;27,325;
140124;1400;28,275;
140124;1500;29,125;
140124;1600;29,3833;
140124;1700;28,8917;
140124;1800;27,9583;
140124;1900;26,2083;
140124;2000;23,8083;
140124;2100;21,3167;
140124;2200;19,35;
140124;2300;18;
140125;0000;17,2167;
140125;0100;16,7167;
140125;0200;16,0417;
140125;0300;15,175;
140125;0400;14,6667;
140125;0500;14,0333;
140125;0600;13,4667;
140125;0700;14,5167;
140125;0800;19,0583;
140125;0900;21,65;
140125;1000;23,575;
140125;1100;25,25;
140125;1200;27,3333;
140125;1300;28,2;
140125;1400;28,9667;
140125;1500;30,2667;
140125;1600;30,6917;
140125;1700;30,3583;
140125;1800;28,625;
140125;1900;26,375;
140125;2000;23,0667;
140125;2100;20,7917;
140125;2200;19,425;
140125;2300;18,2;
140126;0000;17,4917;
140126;0100;16,825;
140126;0200;15,925;
140126;0300;15,325;
140126;0400;14,825;
140126;0500;14,125;
140126;0600;13,45;
140126;0700;14,0583;
140126;0800;17,7583;
140126;0900;19,5917;
140126;1000;21,9833;
140126;1100;23,5417;
140126;1200;25,6583;
140126;1300;27,0333;
140126;1400;27,6666;
140126;1500;28,1667;
140126;1600;29,0917;
140126;1700;28,525;
140126;1800;26,75;
140126;1900;23,9917;
140126;2000;21,2667;
140126;2100;18,7833;
140126;2200;17,4167;
140126;2300;16,1417;
140127;0000;15,175;
140127;0100;14,4417;
140127;0200;14,2583;
140127;0300;13,4917;
140127;0400;12,5417;
140127;0500;11,875;
140127;0600;11,2333;
140127;0700;10,9417;
140127;0800;13,225;
140127;0900;15,0833;
140127;1000;17,025;
140127;1100;19,0083;
140127;1200;21,3667;
140127;1300;22,8583;
140127;1400;24;
140127;1500;24,8417;
140127;1600;24,8667;
140127;1700;24,9667;
140127;1800;24,5;
140127;1900;23,425;
140127;2000;20,4667;
140127;2100;18,2083;
140127;2200;16,9583;
140127;2300;15,5917;
140128;0000;14,5917;
140128;0100;14,1917;
140128;0200;13,7583;
140128;0300;13,3333;
140128;0400;12,9083;
140128;0500;12,6;
140128;0600;11,8667;
140128;0700;12,5083;
140128;0800;17,0417;
140128;0900;19,2083;
140128;1000;20,6917;
140128;1100;23,6167;
140128;1200;26,35;
140128;1300;27,25;
140128;1400;28,2417;
140128;1500;29,8;
140128;1600;30,175;
140128;1700;30,5417;
140128;1800;29,5417;
140128;1900;28,0167;
140128;2000;25,1667;
140128;2100;22,4667;
140128;2200;20,725;
140128;2300;19,875;
140129;0000;18,9333;
140129;0100;17,9583;
140129;0200;17,35;
140129;0300;16,925;
140129;0400;15,8583;
140129;0500;15,4;
140129;0600;15,05;
140129;0700;15,9667;
140129;0800;23,1333;
140129;0900;25;
140129;1000;25,925;
140129;1100;28,125;
140129;1200;30,5416;
140129;1300;31,3667;
140129;1400;32,3583;
140129;1500;33,0333;
140129;1600;33,7;
140129;1700;33,2333;
140129;1800;31,1;
140129;1900;28,6167;
140129;2000;25,6;
140129;2100;23,6083;
140129;2200;22,5667;
140129;2300;20,8917;
140130;0000;20,25;
140130;0100;19,6167;
140130;0200;18,2417;
140130;0300;17,25;
140130;0400;16,15;
140130;0500;15,525;
140130;0600;15,7083;
140130;0700;16,075;
140130;0800;22,1833;
140130;0900;24,2;
140130;1000;26,1167;
140130;1100;28,2167;
140130;1200;29,4417;
140130;1300;30,175;
140130;1400;30,4417;
140130;1500;31,4167;
140130;1600;31,2333;
140130;1700;30,4833;
140130;1800;29,4083;
140130;1900;27,4833;
140130;2000;24,3083;
140130;2100;22,1833;
140130;2200;20,8417;
140130;2300;20,2666;
140131;0000;19,5083;
140131;0100;18,7583;
140131;0200;17,3917;
140131;0300;16,7083;
140131;0400;16,0583;
140131;0500;14,8417;
140131;0600;14,3667;
140131;0700;15,4167;
140131;0800;20,75;
140131;0900;23,8167;
140131;1000;25,5083;
140131;1100;27,6333;
140131;1200;29,2;
140131;1300;30,8083;
140131;1400;31,2583;
140131;1500;32,1083;
140131;1600;32,6416;
140131;1700;32,0167;
140131;1800;30,8667;
140131;1900;28,925;
140131;2000;25,8667;
140131;2100;23,8333;
140131;2200;22,225;
140131;2300;20,975;
140201;0000;20,0083;
140201;0100;19,2417;
140201;0200;18,3833;
140201;0300;17,4833;
140201;0400;16,9583;
