FECHA (YYMMDD);HORA (HHMM);;
140112;0900;23,325;
140112;1000;27,4167;
140112;1100;29,7333;
140112;1200;31,6583;
140112;1300;32,6;
140112;1400;32,825;
140112;1500;32,7;
140112;1600;31,8167;
140112;1700;30,625;
140112;1800;28,3417;
140112;1900;26,2083;
140112;2000;23,3917;
140112;2100;20,7917;
140112;2200;19;
140112;2300;18,4333;
140113;0000;17,2083;
140113;0100;15,8583;
140113;0200;15,0667;
140113;0300;14,1583;
140113;0400;13,6083;
140113;0500;13,525;
140113;0600;13,3667;
140113;0700;13,6667;
140113;0800;15,5083;
140113;0900;16,925;
140113;1000;18,5583;
140113;1100;21,0583;
140113;1200;23,3083;
140113;1300;24,9083;
140113;1400;26,075;
140113;1500;26,9417;
140113;1600;27,8333;
140113;1700;28,0833;
140113;1800;27,6917;
140113;1900;26,225;
140113;2000;23,375;
140113;2100;20,6417;
140113;2200;19,2083;
140113;2300;18,2833;
140114;0000;17,2583;
140114;0100;16,525;
140114;0200;15,8417;
140114;0300;15,6833;
140114;0400;15,2833;
140114;0500;14,8333;
140114;0600;14,7667;
140114;0700;15,8917;
140114;0800;19,4583;
140114;0900;22,1416;
140114;1000;25,575;
140114;1100;27,5083;
140114;1200;28,2583;
140114;1300;29,2917;
140114;1400;30,6667;
140114;1500;31,8083;
140114;1600;31,3083;
140114;1700;30,1083;
140114;1800;29,225;
140114;1900;27,5583;
140114;2000;26,2583;
140114;2100;24,2;
140114;2200;22,725;
140114;2300;21,7417;
140115;0000;21,1333;
140115;0100;20,6167;
140115;0200;19,6;
140115;0300;18,925;
140115;0400;18,7;
140115;0500;18,0833;
140115;0600;17,9083;
140115;0700;19,2083;
140115;0800;22,7083;
140115;0900;25,3667;
140115;1000;27,0416;
140115;1100;28,3083;
140115;1200;29,1167;
140115;1300;30,55;
140115;1400;31,5667;
140115;1500;31,8583;
140115;1600;32,0417;
140115;1700;30,65;
140115;1800;29,3833;
140115;1900;27,75;
140115;2000;25,8833;
140115;2100;23,4083;
140115;2200;21,95;
140115;2300;20,925;
140116;0000;19,7417;
140116;0100;18,5;
140116;0200;17,7;
140116;0300;17,0833;
140116;0400;16,3667;
140116;0500;15,925;
140116;0600;15,2333;
140116;0700;15,25;
140116;0800;17,0917;
140116;0900;19,3916;
140116;1000;21,675;
140116;1100;24,2;
140116;1200;26,2917;
140116;1300;27,925;
140116;1400;29,1917;
140116;1500;30,3083;
140116;1600;30,7167;
140116;1700;30,075;
140116;1800;28,8917;
140116;1900;27,4917;
140116;2000;25,1;
140116;2100;23,075;
140116;2200;21,45;
140116;2300;20,175;
140117;0000;19,2417;
140117;0100;18,25;
140117;0200;17,3917;
140117;0300;16,925;
140117;0400;16,5417;
140117;0500;16,025;
140117;0600;15,7667;
140117;0700;16,5333;
140117;0800;18,7917;
140117;0900;21,2333;
140117;1000;23,7666;
140117;1100;25,825;
140117;1200;27,125;
140117;1300;28,4583;
140117;1400;29,8583;
140117;1500;30,45;
140117;1600;30,95;
140117;1700;30,6833;
140117;1800;29,175;
140117;1900;27,1167;
140117;2000;24,4417;
140117;2100;21,925;
140117;2200;20,4917;
140117;2300;19,2583;
140118;0000;18,5667;
140118;0100;18,1167;
140118;0200;17,725;
140118;0300;17,425;
140118;0400;17,075;
140118;0500;16,8833;
140118;0600;16,4917;
140118;0700;16,8;
140118;0800;19,25;
140118;0900;21,8667;
140118;1000;22,3833;
140118;1100;23,4333;
140118;1200;25,1333;
140118;1300;25,9583;
140118;1400;26,9917;
140118;1500;30,0417;
140118;1600;29,9167;
140118;1700;28,3667;
140118;1800;28,4583;
140118;1900;27,5833;
140118;2000;25,9;
140118;2100;24,6167;
140118;2200;23,2583;
140118;2300;21,375;
140119;0000;20,2167;
140119;0100;19,475;
140119;0200;18,8667;
140119;0300;18,4833;
140119;0400;18,1666;
140119;0500;17,65;
140119;0600;16,2917;
140119;0700;17,1083;
140119;0800;19,875;
140119;0900;21,5583;
140119;1000;23,6333;
140119;1100;25,4917;
140119;1200;26,8083;
140119;1300;28,2417;
140119;1400;29,65;
140119;1500;30,225;
140119;1600;30,1917;
140119;1700;29,3917;
140119;1800;28,4833;
140119;1900;26,9917;
140119;2000;23,8417;
140119;2100;20,55;
140119;2200;18,7333;
140119;2300;17,4917;
140120;0000;16,7667;
140120;0100;16,1417;
140120;0200;15,8167;
140120;0300;15,3667;
140120;0400;15,0417;
140120;0500;14,7917;
140120;0600;14,6333;
140120;0700;15,275;
140120;0800;17,825;
140120;0900;20,7667;
140120;1000;22,7833;
140120;1100;24,7;
140120;1200;25,4917;
140120;1300;27,4583;
140120;1400;29,4167;
140120;1500;30,2917;
140120;1600;29,6083;
140120;1700;28,05;
140120;1800;25,975;
140120;1900;23,425;
140120;2000;21,0333;
140120;2100;18,425;
140120;2200;17,1083;
140120;2300;16,325;
140121;0000;15,8333;
140121;0100;15,2917;
140121;0200;15,0667;
140121;0300;14,5;
140121;0400;13,8833;
140121;0500;13,5;
140121;0600;13,1417;
140121;0700;13,7917;
140121;0800;18,3167;
140121;0900;20;
140121;1000;22,05;
140121;1100;24,9083;
140121;1200;27,325;
140121;1300;28,0333;
140121;1400;29,2667;
140121;1500;30,125;
140121;1600;30,3583;
140121;1700;29,5083;
140121;1800;27,85;
140121;1900;26,5333;
140121;2000;23,8;
140121;2100;20,675;
140121;2200;19,3333;
140121;2300;18,5583;
140122;0000;17,825;
140122;0100;17,2167;
140122;0200;16,525;
140122;0300;15,65;
140122;0400;14,8;
140122;0500;14,4333;
140122;0600;14,4417;
140122;0700;14,7333;
140122;0800;16,85;
140122;0900;18,3583;
140122;1000;20,6917;
140122;1100;22,0417;
140122;1200;23,3667;
140122;1300;25,6333;
140122;1400;27,2167;
140122;1500;27,8917;
140122;1600;27,0333;
140122;1700;26,2333;
140122;1800;25,7583;
140122;1900;25,325;
140122;2000;23,875;
140122;2100;20,6083;
140122;2200;19,225;
140122;2300;17,8667;
140123;0000;16,9;
140123;0100;16,45;
140123;0200;16,0333;
140123;0300;15,3;
140123;0400;14,7083;
140123;0500;14,3583;
140123;0600;14,15;
140123;0700;14,5;
140123;0800;17,2;
140123;0900;18,4167;
140123;1000;19,4917;
140123;1100;21,125;
140123;1200;22,6667;
140123;1300;24,625;
140123;1400;26,2333;
140123;1500;27,2167;
140123;1600;27,325;
140123;1700;26,9583;
140123;1800;25,3583;
140123;1900;23,7583;
140123;2000;22;
140123;2100;19,65;
140123;2200;18,3667;
140123;2300;17,5833;
140124;0000;16,5333;
140124;0100;15,9;
140124;0200;15,525;
140124;0300;14,9667;
140124;0400;14,5167;
140124;0500;13,9;
140124;0600;13,3917;
140124;0700;14,475;
140124;0800;17,175;
140124;0900;19,725;
140124;1000;20,9833;
140124;1100;22,6917;
140124;1200;24,7667;
140124;1300;26,3917;
140124;1400;27,4417;
140124;1500;28,2667;
140124;1600;28,6083;
140124;1700;28,6083;
140124;1800;27,775;
140124;1900;26,8333;
140124;2000;24,5833;
140124;2100;21,6333;
140124;2200;19,8667;
140124;2300;18,4417;
140125;0000;17,675;
140125;0100;17,0667;
140125;0200;16,4417;
140125;0300;15,9583;
140125;0400;14,9417;
140125;0500;13,8583;
140125;0600;13,5833;
140125;0700;14,7417;
140125;0800;18,7;
140125;0900;20,6417;
140125;1000;22,7417;
140125;1100;24,6;
140125;1200;26,125;
140125;1300;27,3417;
140125;1400;28,7333;
140125;1500;29,8417;
140125;1600;29,9833;
140125;1700;29,8917;
140125;1800;28,7917;
140125;1900;26,5833;
140125;2000;23,65;
140125;2100;21,1833;
140125;2200;19,3917;
140125;2300;18,2;
140126;0000;17,3583;
140126;0100;16,8833;
140126;0200;16,525;
140126;0300;15,8;
140126;0400;14,675;
140126;0500;13,5667;
140126;0600;13,3333;
140126;0700;13,575;
140126;0800;15,7583;
140126;0900;18,4083;
140126;1000;20,7416;
140126;1100;23;
140126;1200;24,3667;
140126;1300;25,9167;
140126;1400;27,05;
140126;1500;27,9917;
140126;1600;28,375;
140126;1700;28,25;
140126;1800;26,6417;
140126;1900;24,925;
140126;2000;21,6667;
140126;2100;18,9917;
140126;2200;17,4083;
140126;2300;15,9583;
140127;0000;15;
140127;0100;14,1083;
140127;0200;13,775;
140127;0300;13,15;
140127;0400;12,2917;
140127;0500;11,775;
140127;0600;11,25;
140127;0700;11,4083;
140127;0800;13,0083;
140127;0900;15,0667;
140127;1000;16,4833;
140127;1100;18,75;
140127;1200;20,8;
140127;1300;22,7;
140127;1400;23,8083;
140127;1500;24,575;
140127;1600;24,7917;
140127;1700;25,0167;
140127;1800;24,7167;
140127;1900;23,6333;
140127;2000;21,1167;
140127;2100;18,6333;
140127;2200;17,15;
140127;2300;15,9;
140128;0000;15;
140128;0100;14,5;
140128;0200;14;
140128;0300;13,5083;
140128;0400;13,1167;
140128;0500;12,875;
140128;0600;12,4167;
140128;0700;12,675;
140128;0800;16,2083;
140128;0900;18,8833;
140128;1000;20,85;
140128;1100;23,5333;
140128;1200;25,4417;
140128;1300;26,4;
140128;1400;27,7667;
140128;1500;28,8;
140128;1600;29,3417;
140128;1700;29,85;
140128;1800;29,4917;
140128;1900;28,4333;
140128;2000;25,8583;
140128;2100;23,1417;
140128;2200;21,4583;
140128;2300;20,375;
140129;0000;19,7;
140129;0100;18,825;
140129;0200;17,8167;
140129;0300;17,3083;
140129;0400;16,3833;
140129;0500;15,7667;
140129;0600;15,3167;
140129;0700;16,3917;
140129;0800;21,3417;
140129;0900;23,9917;
140129;1000;26,5583;
140129;1100;27,85;
140129;1200;29,825;
140129;1300;30,8167;
140129;1400;32,2083;
140129;1500;33,0583;
140129;1600;33,6667;
140129;1700;33,3;
140129;1800;31,45;
140129;1900;29,4917;
140129;2000;26,6;
140129;2100;23,925;
140129;2200;22,75;
140129;2300;22,0667;
140130;0000;21,45;
140130;0100;20,1333;
140130;0200;18,0167;
140130;0300;16,975;
140130;0400;16,7083;
140130;0500;16,375;
140130;0600;15,9;
140130;0700;16,7083;
140130;0800;21,6667;
140130;0900;22,9917;
140130;1000;24,7333;
140130;1100;27,3917;
140130;1200;28,8;
140130;1300;29,525;
140130;1400;30,3;
140130;1500;30,8833;
140130;1600;31,1417;
140130;1700;30,6667;
140130;1800;29,7583;
140130;1900;28,2083;
140130;2000;25,3583;
140130;2100;23,35;
140130;2200;21,475;
140130;2300;20,4833;
140131;0000;19,6333;
140131;0100;18,725;
140131;0200;17,9083;
140131;0300;16,9333;
140131;0400;15,925;
140131;0500;15,4;
140131;0600;15,2917;
140131;0700;15,6917;
140131;0800;20,0333;
140131;0900;23,0833;
140131;1000;24,9;
140131;1100;26,9667;
140131;1200;28,775;
140131;1300;30,4083;
140131;1400;31,175;
140131;1500;31,8333;
140131;1600;32,3;
140131;1700;31,9;
140131;1800;30,7917;
140131;1900;28,7167;
140131;2000;26,05;
140131;2100;24,1083;
140131;2200;22,875;
140131;2300;21,65;
140201;0000;20,4833;
140201;0100;19,675;
140201;0200;19,0083;
140201;0300;18,1417;
140201;0400;16,95;
140201;0500;16,0917;
140201;0600;15,575;
140201;0700;15,825;
140201;0800;19,1;
140201;0900;22,1417;
140201;1000;24,0833;
140201;1100;25,6917;
140201;1200;26,7833;
140201;1300;27,9333;
140201;1400;28,425;
140201;1500;29,4917;
140201;1600;29,2636;
140201;1700;28,025;
140201;1800;26,8917;
140201;1900;25,4;
140201;2000;23,0833;
140201;2100;20,7667;
140201;2200;19,45;
140201;2300;17,9667;
140202;0000;17,025;
140202;0100;15,95;
140202;0200;15,3333;
140202;0300;14,6833;
140202;0400;14,1667;
140202;0500;13,4917;
140202;0600;12,525;
140202;0700;12,875;
140202;0800;16,1417;
140202;0900;18,5583;
140202;1000;21,0417;
140202;1100;23,375;
140202;1200;24,6333;
140202;1300;25,8333;
140202;1400;26,5667;
140202;1500;27,3917;
140202;1600;27,4333;
140202;1700;26,5;
140202;1800;25,1167;
140202;1900;23,7833;
140202;2000;22,0083;
140202;2100;19,3917;
140202;2200;17,9583;
140202;2300;16,8167;
140203;0000;16,4083;
140203;0100;15,45;
140203;0200;14,6917;
140203;0300;14,0583;
140203;0400;13,1333;
140203;0500;12,3167;
140203;0600;11,9917;
140203;0700;12,3083;
140203;0800;15,8667;
140203;0900;17,9583;
140203;1000;20,2083;
140203;1100;23,2;
140203;1200;25,15;
140203;1300;25,8667;
140203;1400;27,5083;
140203;1500;28,6667;
140203;1600;29,225;
140203;1700;29,3833;
140203;1800;28,5166;
140203;1900;27,3917;
140203;2000;24,8583;
140203;2100;22,05;
140203;2200;20,275;
140203;2300;18,9333;
140204;0000;18,0667;
140204;0100;17,2833;
140204;0200;16,75;
140204;0300;15,7667;
140204;0400;14,3833;
140204;0500;13,725;
140204;0600;13,45;
140204;0700;13,8833;
140204;0800;18,0833;
140204;0900;20,2;
140204;1000;21,5417;
140204;1100;23,0417;
140204;1200;24,6917;
140204;1300;25,8667;
140204;1400;27,5417;
140204;1500;28,0167;
140204;1600;28,1333;
140204;1700;27,2417;
140204;1800;26,325;
140204;1900;24,4333;
140204;2000;21,45;
140204;2100;18,3917;
140204;2200;16,4833;
140204;2300;15,4083;
140205;0000;14,475;
140205;0100;13,9167;
140205;0200;13,6583;
140205;0300;13;
